用户名称,评论时间,评论内容
墨阳Ryan,11月24日 15:08,捋了好几遍...[多多无语]
亦随风qu,11月24日 15:04,哼唱
释槐鸟_ShiHuai-Bird,11月24日 14:17,岁月，呵，这东西真恋人！
江湖小骑士,11月24日 14:05,11月份了，还在听
景之行1907,11月24日 13:49,暗恋过的那个男孩 我们终究还是两条平行线
无题kong,11月24日 13:25,2017年开始喜欢的歌现在也喜欢
无题kong,11月24日 13:24,2021年11月24日星期三13:22希望我能够考上大学
星空下QP,11月24日 13:06,2021.11.24 13:05还有人在听这歌嘛
清新自我2006,11月24日 13:04,你在我心中是很完美的，跟你聊得非常开心，课程上的一些问题我们也能聊得来，这种相处模式非常舒服
清新自我2006,11月24日 13:00,最后一年半有无限的可能，希望之后都能考上理想高中，你是班一，我也在朝你的方向去努力，既然无法当面告诉你那句话，那就在这里说出来吧
清新自我2006,11月24日 12:59,我还有点贪心，喜欢你却不敢告诉你，其实我也是一个活泼的女孩儿，但我好像在面对你时一点勇气都没有，我很喜欢跟你做朋友，我觉得你是咱班男生里唯一一个能让我把我的东西借给你的
邂逅l647,11月24日 12:56,十一月了我还在
清新自我2006,11月24日 12:49,距离中考还有一年七个月，时间过得真快，好似一眨眼初中三年已经过了一半，没有任何的集体大型活动，却让疫情占满了整个两年，不想让时间过得那么快，我还想要跟他多待在同一学校同一班级，woi
猫maom,11月23日 21:55,2021 11.23 21:55 又来听这首歌 反反复复听不厌
张小默19,11月23日 21:23,妹妹，不要用自己的青春去赌
两眼再无意中人-,11月23日 21:13,对不起
两眼再无意中人-,11月23日 21:13,欠你的一句抱歉 ， 如果你能看到这个评论，就当我补给你了
两眼再无意中人-,11月23日 21:12,你的歌单现在也成了我的歌单，在不能打扰的情况下，或许这就是仅剩的怀念你的方式
两眼再无意中人-,11月23日 21:09,后来啊，一个清晨，大雾散尽，不止清晨，不止大雾，大雾四起，我在无人处爱你，大雾散尽，我爱你人尽皆知。云雾散尽，我爱你从未停歇。云雾缥缈，世人皆知我爱你。大雾四起，遮住了我对你的爱意。我不怪你，我乖大雾四起。
sssfalo,11月23日 20:57,好有感觉 那些时光里的记忆仍很怀念
June17lovz,11月23日 20:55,张中铭我喜欢你啊
IOUtreize,11月23日 20:37,洗洗睡吧，梦里啥都有
越城岭之南,11月23日 20:30,心底空落落地，网易云音乐也拯救不了的空
白昼奶盖2007,11月23日 19:48,当然啦！就算只剩6.7天了还有呀！
_叫我baby,11月23日 19:27,相信你们有缘分的
_叫我baby,11月23日 19:26,希望你能天天开心，我把对你的喜欢放心底
米范加热汤,11月23日 19:09,11月还有呢
捧兰花换锦服,11月23日 19:06,哈哈哈
郭培培培,11月23日 17:47,快十二月了，依然在听
挨急,11月23日 17:39,太慕了，可惜她已经不在了
留白-_-blank,11月23日 17:26,你好像不对劲⊙﹏⊙
神话_WvP5,11月23日 17:19,这首歌是她跟我第一次在一起听的歌如今岁月静好各安一方
v执-念,11月23日 17:10,原来版权在网易[西西晕了][西西晕了][西西晕了]
寂殊try,11月23日 00:17,ktv点的最多
Dominate_-_,11月23日 00:15,在
逸彻,11月23日 00:13,嗯呢
Y杨洁0829,11月23日 00:08,在听
逸彻,11月23日 00:05,2021年11月23日0.05，还有人听吗
Simple_melo,11月23日 00:00,反转我没反应过来
Simple_melo,11月22日 23:59,大反转
Coward一,11月22日 23:58,结婚的时候给我一张请帖吧，你开心的，难过的，温柔的样子我看过，最后我就想看看你不属于我的样子。
